"articlenumber_value","price","special_price","releasedate","Name","Images","Sizes","Status"
"D83195",55.0000,27.5000,"2014-10-01 00:00:00","Climachill Sleeveless Tee","d83195_fr_flat_ecom.jpg|d83195_f_b2c.jpg|d83195_b_flat_ecom.jpg|d83195_d1_flat_ecom.jpg|d83195_d2_flat_ecom.jpg|d83195_d3_flat_ecom.jpg|d83195_f_torso_b2ccat.jpg|d83195_b_b2c.jpg|d83195_b_torso_b2ccat.jpg","M|L|XS|XL|S|2XL|3XL|2XS","Enabled"
"M18121",139.0000,69.5000,"2014-10-01 00:00:00","adipure 360.2 Shoes","m18121_lsl_ecom.jpg|m18121_lsl_b2ccat.jpg|m18121_f_b2ccat.jpg|m18121_fsl_ecom.jpg|m18121_bsm_ecom.jpg|m18121_tpp_ecom.jpg|m18121_bt_ecom.jpg|m18121_d1_ecom.jpg|m18121_d2_ecom.jpg|m18121_d3_ecom.jpg|m18121_bt_b2ccat.jpg","4|4.5|5|5.5|6|6.5|7|7.5|8","Enabled"
"M69272",65.0000,32.5000,"2014-10-01 00:00:00","Printed Racer Bra","m69272_fr_flat_ecom.jpg|m69272_b_flat_ecom.jpg|m69272_d1_flat_ecom.jpg|m69272_d2_flat_ecom.jpg|m69272_d3_flat_ecom.jpg|m69272_2f.jpg|m69272_2b.jpg","M|L|XL|S|XS","Enabled"
"D85482",55.0000,27.5000,"2014-10-01 00:00:00","Response Short Tights","d85482_fr_flat_ecom.jpg|d85482_f_b2c.jpg|d85482_b_flat_ecom.jpg|d85482_d1_flat_ecom.jpg|d85482_d2_flat_ecom.jpg|d85482_d3_flat_ecom.jpg|d85482_b_b2c.jpg","38|32|40|36|34|42","Enabled"
"M20282",59.0000,44.2500,"2014-11-01 00:00:00","Trainer 6 Shoes","m20282_f_1.jpg|m20282_f_b2ccat.jpg|m20282_f_2.jpg|m20282_f_3.jpg|m20282_bt_b2ccat.jpg|m20282_f_4.jpg|m20282_f_5_0.jpg
","10K|11K|12K|1|2|4|5|13K|3|10.5K|11.5K|12.5K|13.5K|2.5|3.5|4.5|5.5|6|6.5|1.5","Enabled"
"M67802",59.0000,NULL,"2014-12-01 00:00:00","3-Stripes Performance Team Bag Small","m67802_fr_ecom.jpg|m67802_fsl_ecom.jpg|m67802_sid_ecom.jpg|m67802_b_ecom.jpg|m67802_d1_ecom.jpg|m67802_d2_ecom.jpg|m67802_d3_ecom.jpg","S","Enabled"
"F84149",59.0000,29.5000,"2014-08-06 00:00:00","CFC EU TRG JSY","f84149_2f.jpg|f84149_2b.jpg","XL|L|M|S|XS","Enabled"
"M38638",10.0000,NULL,"2014-12-01 00:00:00","11Pro Lesto Shin Guard","M38638_FR_eCom.jpg|M38638_D1_eCom.jpg|M38638_D2_eCom.jpg|M38638_D3_eCom.jpg|M38638_FR_eCom_0.jpg|M38638_D2_eCom_0.jpg|M38638_D1_eCom_0.jpg","M|L|S","Enabled"
"M38639",10.0000,NULL,"2014-12-01 00:00:00","11LESTO","m38639_f_b2ccat.jpg","M|L|S","Enabled"
"X20991",16.0000,NULL,"2014-12-01 00:00:00","Adisocks 12","x20991_f.jpg|x20991_f_torso_b2ccat.jpg|x20991_fr_b2c.jpg","3739|4042|4345","Enabled"
